Side,Type,Year,Month,DESTINATION City,Total of Flights,Total of Passengers
OUT,Domestic,2021,Aug,WADI AL-DAWASER,31,2276
OUT,Domestic,2021,Aug,Al Wajh,9,551
OUT,Domestic,2021,Aug,Yenbo,48,3413
IN,Domestic,2021,Sep,Riyadh,4224,453465
OUT,Domestic,2021,Sep,Abha,471,45908
OUT,Domestic,2021,Sep,Al-Jawf,116,11167
OUT,Domestic,2021,Sep,Al-Ula,34,1878
OUT,Domestic,2021,Sep,Arar,77,8233
OUT,Domestic,2021,Sep,Bisha,78,7257
OUT,Domestic,2021,Sep,Dammam,422,40603
OUT,Domestic,2021,Sep,Al-Bahah,85,5980
OUT,Domestic,2021,Sep,"	Qassim",61,5443
OUT,Domestic,2021,Sep,Jizan,365,29391
OUT,Domestic,2021,Sep,Qurayyat,60,5277
OUT,Domestic,2021,Sep,Hafr Al-batin,76,7296
OUT,Domestic,2021,Sep,Hail,162,13104
OUT,Domestic,2021,Sep,Jeddah,1220,160858
OUT,Domestic,2021,Sep,Madinah,271,27657
OUT,Domestic,2021,Sep,Najran,120,11845
OUT,Domestic,2021,Sep,NEOM,2,48
OUT,Domestic,2021,Sep,Rafha,30,2591
OUT,Domestic,2021,Sep,Sharurah,33,2935
OUT,Domestic,2021,Sep,Tabuk,209,21858
OUT,Domestic,2021,Sep,Taif,201,15719
OUT,Domestic,2021,Sep,Turaif,26,2192
OUT,Domestic,2021,Sep,WADI AL-DAWASER,30,2446
OUT,Domestic,2021,Sep,Al Wajh,9,623
OUT,Domestic,2021,Sep,Yenbo,48,3569
IN,Domestic,2021,Oct,Riyadh,4426,522887
OUT,Domestic,2021,Oct,Abha,467,54668
OUT,Domestic,2021,Oct,Al-Jawf,114,12531
OUT,Domestic,2021,Oct,Al-Ula,37,2835
OUT,Domestic,2021,Oct,Arar,80,9116
OUT,Domestic,2021,Oct,Bisha,80,7906
OUT,Domestic,2021,Oct,Dammam,386,45372
OUT,Domestic,2021,Oct,Al-Bahah,79,6520
OUT,Domestic,2021,Oct,"	Qassim",62,6140
OUT,Domestic,2021,Oct,Jizan,400,35593
OUT,Domestic,2021,Oct,Qurayyat,61,6050
OUT,Domestic,2021,Oct,Hafr Al-batin,75,7876
OUT,Domestic,2021,Oct,Hail,145,14585
OUT,Domestic,2021,Oct,Jeddah,1319,184635
OUT,Domestic,2021,Oct,Madinah,343,35911
OUT,Domestic,2021,Oct,Najran,153,15492
OUT,Domestic,2021,Oct,NEOM,9,480
OUT,Domestic,2021,Oct,Rafha,31,2878
OUT,Domestic,2021,Oct,Sharurah,36,3498
OUT,Domestic,2021,Oct,Tabuk,239,26080
OUT,Domestic,2021,Oct,Taif,221,18737
OUT,Domestic,2021,Oct,Turaif,27,2549
OUT,Domestic,2021,Oct,WADI AL-DAWASER,28,2555
OUT,Domestic,2021,Oct,Al Wajh,9,675
OUT,Domestic,2021,Oct,Yenbo,56,4100
IN,Domestic,2021,Nov,Riyadh,4521,593297
OUT,Domestic,2021,Nov,Abha,417,58243
OUT,Domestic,2021,Nov,Al-Jawf,120,13148
OUT,Domestic,2021,Nov,Al-Ula,37,3397
OUT,Domestic,2021,Nov,Arar,77,9146
OUT,Domestic,2021,Nov,Bisha,77,8600
OUT,Domestic,2021,Nov,Dammam,424,48958
OUT,Domestic,2021,Nov,Al-Bahah,60,6851
OUT,Domestic,2021,Nov,"	Qassim",60,6510
OUT,Domestic,2021,Nov,Jizan,413,40791
OUT,Domestic,2021,Nov,Qurayyat,60,6443
OUT,Domestic,2021,Nov,Hafr Al-batin,72,7725
OUT,Domestic,2021,Nov,Hail,152,15822
OUT,Domestic,2021,Nov,Jeddah,1433,223648
OUT,Domestic,2021,Nov,Madinah,339,41093
OUT,Domestic,2021,Nov,Najran,150,16834
OUT,Domestic,2021,Nov,NEOM,8,506
OUT,Domestic,2021,Nov,Rafha,30,3171
OUT,Domestic,2021,Nov,Sharurah,45,4624
OUT,Domestic,2021,Nov,Tabuk,261,27506
OUT,Domestic,2021,Nov,Taif,218,21880
OUT,Domestic,2021,Nov,Turaif,25,2459
OUT,Domestic,2021,Nov,WADI AL-DAWASER,34,3271
OUT,Domestic,2021,Nov,Al Wajh,8,595
OUT,Domestic,2021,Nov,Yenbo,37,4105
IN,Domestic,2021,Dec,Riyadh,4610,614928
OUT,Domestic,2021,Dec,Abha,467,67577
OUT,Domestic,2021,Dec,Al-Jawf,122,14094
OUT,Domestic,2021,Dec,Al-Ula,52,4564
OUT,Domestic,2021,Dec,Arar,79,9867
OUT,Domestic,2021,Dec,Bisha,79,9477
OUT,Domestic,2021,Dec,Dammam,377,49120
OUT,Domestic,2021,Dec,Al-Bahah,62,6767
OUT,Domestic,2021,Dec,"	Qassim",62,6439
OUT,Domestic,2021,Dec,Jizan,427,45662
OUT,Domestic,2021,Dec,Qurayyat,62,6751
OUT,Domestic,2021,Dec,Hafr Al-batin,68,7966
OUT,Domestic,2021,Dec,Hail,155,16457
OUT,Domestic,2021,Dec,Jeddah,1458,237820
OUT,Domestic,2021,Dec,Madinah,343,44934
OUT,Domestic,2021,Dec,Najran,149,19677
OUT,Domestic,2021,Dec,NEOM,9,370
OUT,Domestic,2021,Dec,Rafha,26,3013
OUT,Domestic,2021,Dec,Sharurah,43,4973
OUT,Domestic,2021,Dec,Tabuk,266,31117
OUT,Domestic,2021,Dec,Taif,226,25145
OUT,Domestic,2021,Dec,Turaif,27,2738
OUT,Domestic,2021,Dec,WADI AL-DAWASER,35,3217
OUT,Domestic,2021,Dec,Al Wajh,13,782
OUT,Domestic,2021,Dec,Yenbo,40,4074
IN,Domestic,2022,Jan,Riyadh,4639,605418
OUT,Domestic,2022,Jan,Abha,533,66849
OUT,Domestic,2022,Jan,Al-Jawf,120,13026
OUT,Domestic,2022,Jan,Al-Ula,48,4967
OUT,Domestic,2022,Jan,Arar,79,9336
OUT,Domestic,2022,Jan,Bisha,81,9360
OUT,Domestic,2022,Jan,Dammam,416,47447
OUT,Domestic,2022,Jan,Al-Bahah,54,5867
OUT,Domestic,2022,Jan,Hafr Al-batin,67,7903
OUT,Domestic,2022,Jan,Hail,157,15588
OUT,Domestic,2022,Jan,Jeddah,1383,209156
OUT,Domestic,2022,Jan,Jizan,401,47081
OUT,Domestic,2022,Jan,Madinah,340,40206
OUT,Domestic,2022,Jan,Najran,151,18993
OUT,Domestic,2022,Jan,NEOM,9,655
OUT,Domestic,2022,Jan,Qassim,62,6405
OUT,Domestic,2022,Jan,Qurayyat,62,6513
OUT,Domestic,2022,Jan,Rafha,31,3504
OUT,Domestic,2022,Jan,Sharurah,53,4935
OUT,Domestic,2022,Jan,Tabuk,258,30330
OUT,Domestic,2022,Jan,Taif,248,25201
OUT,Domestic,2022,Jan,Turaif,22,2436
OUT,Domestic,2022,Jan,WADI AL-DAWASER,36,3598
OUT,Domestic,2022,Jan,Al Wajh,13,818
OUT,Domestic,2022,Jan,Yenbo,31,3677
IN,Domestic,2022,Feb,Riyadh,4223,538716
OUT,Domestic,2022,Feb,Abha,494,59362
OUT,Domestic,2022,Feb,Al-Jawf,110,12210
OUT,Domestic,2022,Feb,Al-Ula,42,4466
OUT,Domestic,2022,Feb,Arar,72,8652
OUT,Domestic,2022,Feb,Bisha,72,7718
OUT,Domestic,2022,Feb,Dammam,332,42248
OUT,Domestic,2022,Feb,Al-Bahah,44,4542
OUT,Domestic,2022,Feb,Hafr Al-batin,68,7558
OUT,Domestic,2022,Feb,Hail,133,14550
OUT,Domestic,2022,Feb,Jeddah,1288,201400
OUT,Domestic,2022,Feb,Jizan,359,37243
OUT,Domestic,2022,Feb,Madinah,298,38191
OUT,Domestic,2022,Feb,Najran,136,16363
OUT,Domestic,2022,Feb,NEOM,8,365
OUT,Domestic,2022,Feb,Qassim,56,6036
OUT,Domestic,2022,Feb,Qurayyat,56,6021
OUT,Domestic,2022,Feb,Rafha,28,2940
OUT,Domestic,2022,Feb,Sharurah,49,4199
OUT,Domestic,2022,Feb,Tabuk,252,26478
OUT,Domestic,2022,Feb,Taif,222,21944
OUT,Domestic,2022,Feb,Turaif,24,2449
OUT,Domestic,2022,Feb,WADI AL-DAWASER,32,3194
OUT,Domestic,2022,Feb,Al Wajh,12,858
OUT,Domestic,2022,Feb,Yenbo,28,3404
IN,Domestic,2022,Mar,Riyadh,4735,685481
OUT,Domestic,2022,Mar,Abha,552,80658
OUT,Domestic,2022,Mar,Al-Jawf,123,16304
OUT,Domestic,2022,Mar,Al-Ula,41,4660
OUT,Domestic,2022,Mar,Arar,78,10494
OUT,Domestic,2022,Mar,Bisha,80,10678
OUT,Domestic,2022,Mar,Dammam,384,52646
OUT,Domestic,2022,Mar,Al-Bahah,56,6914
OUT,Domestic,2022,Mar,Hafr Al-batin,72,9180
OUT,Domestic,2022,Mar,Hail,151,18316
OUT,Domestic,2022,Mar,Jeddah,1482,259183
OUT,Domestic,2022,Mar,Jizan,396,50206
OUT,Domestic,2022,Mar,Madinah,347,48668
OUT,Domestic,2022,Mar,Najran,149,20692
OUT,Domestic,2022,Mar,NEOM,9,531
OUT,Domestic,2022,Mar,Qassim,62,7531
OUT,Domestic,2022,Mar,Qurayyat,62,8007
OUT,Domestic,2022,Mar,Rafha,31,3890
OUT,Domestic,2022,Mar,Sharurah,52,5800
OUT,Domestic,2022,Mar,Tabuk,275,33980
OUT,Domestic,2022,Mar,Taif,254,29639
OUT,Domestic,2022,Mar,Turaif,27,3114
OUT,Domestic,2022,Mar,WADI AL-DAWASER,35,4336
OUT,Domestic,2022,Mar,Al Wajh,14,1158
OUT,Domestic,2022,Mar,Yenbo,30,4078
IN,Domestic,2022,Apr,Riyadh,4623,507431
OUT,Domestic,2022,Apr,Abha,428,51553
OUT,Domestic,2022,Apr,Al-Jawf,116,10770
OUT,Domestic,2022,Apr,Al-Ula,17,1593
OUT,Domestic,2022,Apr,Arar,80,7719
OUT,Domestic,2022,Apr,Bisha,76,7854
OUT,Domestic,2022,Apr,Dammam,405,32817
OUT,Domestic,2022,Apr,Al-Bahah,56,5716
OUT,Domestic,2022,Apr,Hafr Al-batin,59,6119
OUT,Domestic,2022,Apr,Hail,141,13472
OUT,Domestic,2022,Apr,Jeddah,1636,286502
OUT,Domestic,2022,Apr,Jizan,332,39001
OUT,Domestic,2022,Apr,Madinah,358,48907
OUT,Domestic,2022,Apr,Najran,148,15362
OUT,Domestic,2022,Apr,NEOM,9,285
OUT,Domestic,2022,Apr,Qassim,60,5191
OUT,Domestic,2022,Apr,Qurayyat,59,6180
OUT,Domestic,2022,Apr,Rafha,25,2511
OUT,Domestic,2022,Apr,Sharurah,52,4301
OUT,Domestic,2022,Apr,Tabuk,242,22341
OUT,Domestic,2022,Apr,Taif,239,32825
OUT,Domestic,2022,Apr,Turaif,27,2122
OUT,Domestic,2022,Apr,WADI AL-DAWASER,30,3150
OUT,Domestic,2022,Apr,Al Wajh,12,765
OUT,Domestic,2022,Apr,Yenbo,30,2873
IN,Domestic,2022,May,Riyadh,4691,661126
OUT,Domestic,2022,May,Abha,547,64156
OUT,Domestic,2022,May,Al-Jawf,122,12474
OUT,Domestic,2022,May,Al-Ula,18,1862
OUT,Domestic,2022,May,Arar,84,9229
OUT,Domestic,2022,May,Bisha,80,8310
OUT,Domestic,2022,May,Dammam,422,50901
OUT,Domestic,2022,May,Al-Bahah,76,6375
OUT,Domestic,2022,May,Hafr Al-batin,57,6852
OUT,Domestic,2022,May,Hail,178,16930
OUT,Domestic,2022,May,Jeddah,1464,198473
OUT,Domestic,2022,May,Jizan,371,37854
OUT,Domestic,2022,May,Madinah,348,36782
OUT,Domestic,2022,May,Najran,148,18761
OUT,Domestic,2022,May,NEOM,13,824
OUT,Domestic,2022,May,Qassim,60,5836
OUT,Domestic,2022,May,Qurayyat,62,6523
OUT,Domestic,2022,May,Rafha,26,2747
OUT,Domestic,2022,May,Sharurah,52,5168
OUT,Domestic,2022,May,Tabuk,248,29178
OUT,Domestic,2022,May,Taif,221,20890
OUT,Domestic,2022,May,Turaif,27,2424
OUT,Domestic,2022,May,WADI AL-DAWASER,31,3404
