Side,Type,Year,Month,DESTINATION City,Total of Flights,Total of Passengers
OUT,Domestic,2026,Feb,Aljouf,135,18513
OUT,Domestic,2026,Feb,Alola,43,7056
OUT,Domestic,2026,Feb,Arar,110,15086
OUT,Domestic,2026,Feb,Bisha,98,11170
OUT,Domestic,2026,Feb,Dammam,473,61382
OUT,Domestic,2026,Feb,Dawadmi,8,536
OUT,Domestic,2026,Feb,Gassim,41,5109
OUT,Domestic,2026,Feb,Gizan,360,48064
OUT,Domestic,2026,Feb,Guriat,86,11251
OUT,Domestic,2026,Feb,Hafr Al-batin,57,8426
OUT,Domestic,2026,Feb,Hail,141,19714
OUT,Domestic,2026,Feb,Jeddah,2100,371156
OUT,Domestic,2026,Feb,Madinah,463,66948
OUT,Domestic,2026,Feb,NEOM,8,620
OUT,Domestic,2026,Feb,Najran,219,27982
OUT,Domestic,2026,Feb,Rafha,23,3127
OUT,Domestic,2026,Feb,Red Sea,28,3691
OUT,Domestic,2026,Feb,Sharurah,49,6548
OUT,Domestic,2026,Feb,Tabuk,274,36494
OUT,Domestic,2026,Feb,Taif,275,35679
OUT,Domestic,2026,Feb,Turaif,22,2604
OUT,Domestic,2026,Feb,WADI AL-DAWASER,25,3439
OUT,Domestic,2026,Feb,Yenbo,44,5736
IN,Domestic,2026,Mar,Riyadh,6008,818024
OUT,Domestic,2026,Mar,Abha,540,79777
OUT,Domestic,2026,Mar,Al-Bahah,104,12016
OUT,Domestic,2026,Mar,Aljouf,133,15815
OUT,Domestic,2026,Mar,Alola,39,4597
OUT,Domestic,2026,Mar,Arar,105,13500
OUT,Domestic,2026,Mar,Bisha,110,13569
OUT,Domestic,2026,Mar,Dammam,453,43841
OUT,Domestic,2026,Mar,Dawadmi,9,884
OUT,Domestic,2026,Mar,Gassim,43,4158
OUT,Domestic,2026,Mar,Gizan,389,48095
OUT,Domestic,2026,Mar,Guriat,76,10571
OUT,Domestic,2026,Mar,Hafr Al-batin,40,5179
OUT,Domestic,2026,Mar,Hail,144,16573
OUT,Domestic,2026,Mar,Jeddah,2336,365529
OUT,Domestic,2026,Mar,Madinah,532,68299
OUT,Domestic,2026,Mar,NEOM,10,417
OUT,Domestic,2026,Mar,Najran,214,26261
OUT,Domestic,2026,Mar,Rafha,21,2637
OUT,Domestic,2026,Mar,Red Sea,38,4313
OUT,Domestic,2026,Mar,Sharurah,48,6680
OUT,Domestic,2026,Mar,Tabuk,290,35593
OUT,Domestic,2026,Mar,Taif,278,35801
OUT,Domestic,2026,Mar,Turaif,19,1975
OUT,Domestic,2026,Mar,WADI AL-DAWASER,29,3455
OUT,Domestic,2026,Mar,Yenbo,42,4507
IN,Domestic,2026,Apr,Riyadh,5792,846446
OUT,Domestic,2026,Apr,Abha,536,67016
OUT,Domestic,2026,Apr,Al-Bahah,104,9554
OUT,Domestic,2026,Apr,Aljouf,138,17026
OUT,Domestic,2026,Apr,Alola,42,4283
OUT,Domestic,2026,Apr,Arar,103,13738
OUT,Domestic,2026,Apr,Bisha,101,10516
OUT,Domestic,2026,Apr,Dammam,526,58582
OUT,Domestic,2026,Apr,Dawadmi,9,524
OUT,Domestic,2026,Apr,Gassim,53,5696
OUT,Domestic,2026,Apr,Gizan,356,40833
OUT,Domestic,2026,Apr,Guriat,73,8627
OUT,Domestic,2026,Apr,Hafr Al-batin,75,8766
OUT,Domestic,2026,Apr,Hail,139,17299
OUT,Domestic,2026,Apr,Jeddah,2081,354799
OUT,Domestic,2026,Apr,Madinah,472,58160
OUT,Domestic,2026,Apr,NEOM,26,1271
OUT,Domestic,2026,Apr,Najran,225,26307
OUT,Domestic,2026,Apr,Rafha,26,2949
OUT,Domestic,2026,Apr,Red Sea,30,4505
OUT,Domestic,2026,Apr,Sharurah,57,6517
OUT,Domestic,2026,Apr,Tabuk,264,32549
OUT,Domestic,2026,Apr,Taif,247,31022
OUT,Domestic,2026,Apr,Turaif,27,3068
OUT,Domestic,2026,Apr,WADI AL-DAWASER,32,3836
OUT,Domestic,2026,Apr,Yenbo,42,4749
IN,Domestic,2026,May,Riyadh,5579,675135
OUT,Domestic,2026,May,Abha,535,77610
OUT,Domestic,2026,May,Al-Bahah,97,10751
OUT,Domestic,2026,May,Aljouf,135,17496
OUT,Domestic,2026,May,Alola,27,3676
OUT,Domestic,2026,May,Arar,99,13281
OUT,Domestic,2026,May,Bisha,84,10217
OUT,Domestic,2026,May,Dammam,506,60051
OUT,Domestic,2026,May,Dawadmi,9,872
OUT,Domestic,2026,May,Gassim,43,4824
OUT,Domestic,2026,May,Gizan,346,46166
OUT,Domestic,2026,May,Guriat,79,10852
OUT,Domestic,2026,May,Hafr Al-batin,78,9797
OUT,Domestic,2026,May,Hail,129,15626
OUT,Domestic,2026,May,Jeddah,2040,306375
OUT,Domestic,2026,May,Madinah,460,61189
OUT,Domestic,2026,May,NEOM,22,1385
OUT,Domestic,2026,May,Najran,205,26681
OUT,Domestic,2026,May,Rafha,18,2591
OUT,Domestic,2026,May,Red Sea,51,7270
OUT,Domestic,2026,May,Sharurah,54,6902
OUT,Domestic,2026,May,Tabuk,237,32814
OUT,Domestic,2026,May,Taif,236,29312
OUT,Domestic,2026,May,Turaif,24,3132
OUT,Domestic,2026,May,WADI AL-DAWASER,31,3961
OUT,Domestic,2026,May,Wejh,4,154
OUT,Domestic,2026,May,Yenbo,31,4186
IN,Domestic,2026,Jun,Riyadh,5078,689622
OUT,Domestic,2026,Jun,Abha,507,77265
OUT,Domestic,2026,Jun,Al-Bahah,94,10928
OUT,Domestic,2026,Jun,Aljouf,127,15695
OUT,Domestic,2026,Jun,Alola,15,2412
OUT,Domestic,2026,Jun,Arar,107,13664
OUT,Domestic,2026,Jun,Bisha,93,11049
OUT,Domestic,2026,Jun,Dammam,432,53381
OUT,Domestic,2026,Jun,Dawadmi,8,460
OUT,Domestic,2026,Jun,Gassim,45,4665
OUT,Domestic,2026,Jun,Gizan,376,42032
OUT,Domestic,2026,Jun,Guriat,75,10658
OUT,Domestic,2026,Jun,Hafr Al-batin,74,9292
OUT,Domestic,2026,Jun,Hail,138,15992
OUT,Domestic,2026,Jun,Jeddah,1717,236191
OUT,Domestic,2026,Jun,Madinah,383,42651
OUT,Domestic,2026,Jun,NEOM,26,1519
OUT,Domestic,2026,Jun,Najran,203,25485
OUT,Domestic,2026,Jun,Rafha,23,2906
OUT,Domestic,2026,Jun,Red Sea,30,4784
OUT,Domestic,2026,Jun,Sharurah,54,6925
OUT,Domestic,2026,Jun,Tabuk,248,30585
OUT,Domestic,2026,Jun,Taif,213,25169
OUT,Domestic,2026,Jun,Turaif,23,2922
OUT,Domestic,2026,Jun,WADI AL-DAWASER,30,3549
OUT,Domestic,2026,Jun,Wejh,13,545
OUT,Domestic,2026,Jun,Yenbo,34,4197
IN,Domestic,2026,Jul,Riyadh,5966,785317
OUT,Domestic,2026,Jul,Abha,570,99249
OUT,Domestic,2026,Jul,Al-Bahah,138,20422
OUT,Domestic,2026,Jul,Aljouf,163,20353
OUT,Domestic,2026,Jul,Alola,17,2539
OUT,Domestic,2026,Jul,Arar,133,16801
OUT,Domestic,2026,Jul,Bisha,132,19887
OUT,Domestic,2026,Jul,Dammam,603,61119
OUT,Domestic,2026,Jul,Dawadmi,9,833
OUT,Domestic,2026,Jul,Gassim,50,5545
OUT,Domestic,2026,Jul,Gizan,167,23644
OUT,Domestic,2026,Jul,Guriat,102,14166
OUT,Domestic,2026,Jul,Hafr Al-batin,75,10602
OUT,Domestic,2026,Jul,Hail,187,21359
OUT,Domestic,2026,Jul,Jeddah,2131,340106
OUT,Domestic,2026,Jul,Madinah,540,69587
OUT,Domestic,2026,Jul,NEOM,25,1278
OUT,Domestic,2026,Jul,Najran,107,13182
OUT,Domestic,2026,Jul,Rafha,26,3451
OUT,Domestic,2026,Jul,Red Sea,42,5745
OUT,Domestic,2026,Jul,Sharurah,54,7153
OUT,Domestic,2026,Jul,Tabuk,280,34519
OUT,Domestic,2026,Jul,Taif,276,41501
OUT,Domestic,2026,Jul,Turaif,31,3960
OUT,Domestic,2026,Jul,WADI AL-DAWASER,40,5138
OUT,Domestic,2026,Jul,Wejh,13,654
OUT,Domestic,2026,Jul,Yenbo,49,4781
